Week,Caddyshack,Ham,Leftovers
10/27/2013,35,14,4
11/3/2013,38,16,3
11/10/2013,29,20,3
11/17/2013,28,29,4
11/24/2013,24,62,9
12/1/2013,32,21,9
12/8/2013,25,24,3
12/15/2013,28,43,3
12/22/2013,32,90,6
12/29/2013,41,35,5
1/5/2014,29,19,4
1/12/2014,28,15,3
1/19/2014,29,16,3
1/26/2014,42,16,3
2/2/2014,45,35,3
2/9/2014,27,16,3
2/16/2014,27,13,3
2/23/2014,96,14,3
3/2/2014,49,15,3
3/9/2014,33,13,3
3/16/2014,44,13,3
3/23/2014,42,13,3
3/30/2014,34,13,4
4/6/2014,35,16,5
4/13/2014,35,41,5
4/20/2014,50,44,4
4/27/2014,31,15,15
5/4/2014,58,12,9
5/11/2014,37,12,10
5/18/2014,43,11,10
5/25/2014,61,11,7
6/1/2014,41,11,10
6/8/2014,82,11,12
6/15/2014,44,11,14
6/22/2014,50,11,26
6/29/2014,43,11,100
7/6/2014,37,11,64
7/13/2014,45,11,40
7/20/2014,42,11,37
7/27/2014,76,12,40
8/3/2014,46,12,33
8/10/2014,40,12,38
8/17/2014,58,12,40
8/24/2014,45,12,38
8/31/2014,41,13,35
9/7/2014,35,12,45
9/14/2014,28,13,15
9/21/2014,30,12,10
9/28/2014,33,13,9
10/5/2014,35,13,7
10/12/2014,32,13,7
10/19/2014,37,14,6
10/26/2014,38,15,5
11/2/2014,28,16,5
11/9/2014,29,20,5
11/16/2014,23,29,5
11/23/2014,48,62,15
11/30/2014,30,23,13
12/7/2014,39,26,5
12/14/2014,31,39,5
12/21/2014,43,94,7
12/28/2014,34,38,8
1/4/2015,24,20,6
1/11/2015,35,16,6
1/18/2015,39,15,5
1/25/2015,27,15,5
2/1/2015,33,14,4
2/8/2015,31,14,4
2/15/2015,37,14,5
2/22/2015,28,15,4
3/1/2015,28,16,5
3/8/2015,56,14,5
3/15/2015,43,14,5
3/22/2015,40,17,5
3/29/2015,33,41,4
4/5/2015,36,44,5
4/12/2015,31,14,5
4/19/2015,35,13,5
4/26/2015,29,12,4
5/3/2015,56,12,5
5/10/2015,36,12,5
5/17/2015,38,12,5
5/24/2015,43,12,5
5/31/2015,43,11,5
6/7/2015,34,11,6
6/14/2015,75,12,7
6/21/2015,74,12,8
6/28/2015,53,11,6
7/5/2015,56,11,6
7/12/2015,45,11,8
7/19/2015,41,11,8
7/26/2015,47,11,6
8/2/2015,50,12,10
8/9/2015,41,13,8
8/16/2015,51,12,8
8/23/2015,44,12,7
8/30/2015,37,12,7
9/6/2015,42,12,9
9/13/2015,35,12,8
9/20/2015,41,18,8
9/27/2015,41,13,13
10/4/2015,26,13,36
10/11/2015,43,13,26
10/18/2015,29,14,24
10/25/2015,42,16,20
11/1/2015,28,16,22
11/8/2015,26,21,22
11/15/2015,28,31,27
11/22/2015,27,70,38
11/29/2015,21,24,37
12/6/2015,24,25,47
12/13/2015,34,37,18
12/20/2015,35,100,14
12/27/2015,62,45,16
1/3/2016,26,22,11
1/10/2016,33,17,8
1/17/2016,30,17,8
1/24/2016,45,16,6
1/31/2016,32,15,6
2/7/2016,49,17,5
2/14/2016,30,14,5
2/21/2016,40,14,5
2/28/2016,44,17,5
3/6/2016,36,14,5
3/13/2016,27,17,4
3/20/2016,34,43,5
3/27/2016,34,49,5
4/3/2016,53,16,5
4/10/2016,40,14,5
4/17/2016,44,13,4
4/24/2016,40,12,5
5/1/2016,38,12,5
5/8/2016,47,14,5
5/15/2016,54,12,5
5/22/2016,34,11,5
5/29/2016,38,10,5
6/5/2016,50,11,5
6/12/2016,57,11,5
6/19/2016,50,11,5
6/26/2016,48,11,6
7/3/2016,60,12,6
7/10/2016,38,12,7
7/17/2016,41,11,5
7/24/2016,40,11,5
7/31/2016,43,11,5
8/7/2016,49,11,5
8/14/2016,40,12,5
8/21/2016,39,12,5
8/28/2016,33,12,6
9/4/2016,60,11,5
9/11/2016,67,11,6
9/18/2016,45,12,6
9/25/2016,35,12,5
10/2/2016,36,12,6
10/9/2016,40,13,6
10/16/2016,44,13,6
10/23/2016,43,15,5
10/30/2016,48,15,5
11/6/2016,26,18,5
11/13/2016,30,33,6
11/20/2016,40,77,15
11/27/2016,31,25,14
12/4/2016,26,24,8
12/11/2016,29,33,7
12/18/2016,38,77,7
12/25/2016,35,64,10
1/1/2017,63,28,7
1/8/2017,65,18,6
1/15/2017,45,16,6
1/22/2017,40,15,6
1/29/2017,48,16,6
2/5/2017,38,14,5
2/12/2017,42,13,5
2/19/2017,37,14,6
2/26/2017,39,16,6
3/5/2017,30,14,7
3/12/2017,36,13,8
3/19/2017,33,13,9
3/26/2017,37,13,10
4/2/2017,36,17,13
4/9/2017,38,45,20
4/16/2017,35,48,44
4/23/2017,33,15,32
4/30/2017,36,13,24
5/7/2017,34,13,23
5/14/2017,36,13,24
5/21/2017,33,12,27
5/28/2017,38,11,35
6/4/2017,35,11,52
6/11/2017,39,11,17
6/18/2017,41,11,12
6/25/2017,41,12,10
7/2/2017,46,12,11
7/9/2017,37,11,11
7/16/2017,38,12,10
7/23/2017,42,12,9
7/30/2017,44,12,9
8/6/2017,39,12,9
8/13/2017,40,13,7
8/20/2017,31,12,7
8/27/2017,27,11,6
9/3/2017,35,11,6
9/10/2017,33,13,5
9/17/2017,27,13,6
9/24/2017,25,12,5
10/1/2017,28,12,4
10/8/2017,26,13,4
10/15/2017,27,14,5
10/22/2017,31,15,4
10/29/2017,31,17,4
11/5/2017,24,22,5
11/12/2017,21,35,5
11/19/2017,25,81,12
11/26/2017,21,24,11
12/3/2017,25,23,5
12/10/2017,24,32,5
12/17/2017,23,66,5
12/24/2017,28,87,8
12/31/2017,41,33,7
1/7/2018,50,19,5
1/14/2018,56,18,5
1/21/2018,55,15,5
1/28/2018,93,15,5
2/4/2018,53,15,4
2/11/2018,49,13,5
2/18/2018,44,14,5
2/25/2018,39,17,4
3/4/2018,39,14,4
3/11/2018,37,15,4
3/18/2018,38,18,4
3/25/2018,41,47,5
4/1/2018,39,51,5
4/8/2018,48,17,4
4/15/2018,100,13,4
4/22/2018,58,12,4
4/29/2018,39,12,5
5/6/2018,62,12,4
5/13/2018,45,11,3
5/20/2018,37,11,4
5/27/2018,68,11,4
6/3/2018,41,11,4
6/10/2018,53,11,4
6/17/2018,57,11,4
6/24/2018,77,11,4
7/1/2018,48,11,4
7/8/2018,52,11,4
7/15/2018,81,11,4
7/22/2018,57,12,4
7/29/2018,58,11,4
8/5/2018,61,12,4
8/12/2018,47,13,4
8/19/2018,58,12,4
8/26/2018,41,12,4
9/2/2018,37,12,4
9/9/2018,36,12,4
9/16/2018,41,12,4
9/23/2018,35,14,4
9/30/2018,39,14,3
10/7/2018,28,13,4
10/14/2018,26,14,4
10/21/2018,61,16,4
